x,y,z
-1.84863,0.291667,0.288086
-0.106445,0.396375,-0.0908203
-0.518555,0.470467,-1.32324
-1.56543,0.515742,0.977539
1.84082,0.416667,1.94824
-1.56543,0.422254,-1.7627
-0.254883,0.394571,0.258789
1.48535,0.487546,-0.196289
1.80762,0.166667,1.43262
1.5791,0.479167,-0.866211
0.743164,0.524134,0.77832
1.74316,0.333916,0.256836
-0.325195,0.470132,-1.53418
-1.74707,0.1875,-0.143555
-1.55371,0.358668,1.41309
-0.358398,0.304113,1.61035
1.06348,0.401372,0.647461
0.0205078,0.562409,0.592773
0.649414,0.395833,1.58887
-0.551758,0.657062,-1.49902
1.43848,0.416667,0.0634766
1.17676,0.308509,1.39551
-0.655273,0.229167,1.2041
1.05566,0.484665,-0.0986328
0.233398,0.561284,-0.0771484
-1.28418,0.4375,-1.2002
0.577148,0.604167,0.950195
-0.483398,0.294184,0.147461
-1.63965,0.416667,0.481445
1.05371,0.382695,0.575195
0.469727,0.330887,-1.15527
-1.67285,0.504684,0.899414
0.678711,0.34716,-1.62012
-1.11621,0.270833,0.905273
-1.44434,0.270833,-0.737305
1.63965,0.379308,0.827148
1.95996,0.337255,0.75293
-0.524414,0.350896,-0.62793
1.05566,0.375,1.25293
-0.0400391,0.562709,0.444336
-0.579102,0.657043,-1.4834
1.14941,0.473933,0.50293
1.5498,0.229167,1.05762
0.696289,0.416667,1.53027
-0.59082,0.948985,-1.61426
1.65527,0.506413,-1.02441
-0.0107422,0.520889,1.55371
0.00683594,0.4375,1.6416
-1.99707,0.15606,-0.0673828
1.23145,0.391883,-1.53613
-0.907227,0.432775,-0.786133
-1.14941,0.354167,0.782227
-1.09473,0.4375,-0.672852
-1.33301,0.472224,-1.83301
-0.170898,0.396874,0.0302734
-1.97754,0.485979,1.41309
-0.879883,0.578751,-1.05957
1.56152,0.3125,0.866211
0.477539,0.6875,0.946289
-0.854492,0.641383,-1.19238
-1.06152,0.3125,0.686523
0.176758,0.591726,1.50098
0.663086,0.4375,-0.569336
1.37402,0.5625,-0.18457
-1.82324,0.1875,-0.989258
1.77832,0.473974,-0.99707
1.13574,0.588716,0.360352
0.688477,0.416667,1.17871
-0.641602,0.541667,-1.96973
-1.55176,0.56665,-1.94629
0.641602,0.607508,0.74707
-0.34668,0.200424,1.51855
1.26465,0.416667,-1.43652
-0.749023,0.153807,1.88379
0.848633,0.520833,-0.22168
0.327148,0.37611,-1.39355
-1.44824,0.393703,1.12988
1.73926,0.375,0.833008
0.407227,0.317804,-1.13379
-1.2998,0.230871,0.327148
0.977539,0.342149,0.946289
1.53613,0.445501,-0.21582
-0.27832,0.261892,1.5459
0.606445,0.5,-0.21582
0.540039,0.583333,1.13965
1.54199,0.447935,0.750977
-1.63965,0.514672,-1.99512
-1.78809,0.505549,1.92676
-1.27246,0.324247,0.692383
-1.37988,0.21456,1.8252
1.50684,0.375,0.243164
-1.28613,0.465032,-0.329102
-1.81543,0.168322,-0.700195
0.428711,0.490321,-1.8584
1.34082,0.520833,-0.327148
-1.60254,0.395833,-1.84277
0.0400391,0.416596,1.35254
-1.67285,0.46561,1.59863
0.946289,0.240168,1.8877
-1.71191,0.47025,1.12012
0.116211,0.458333,0.688477
0.114258,0.770238,0.274414
1.96191,0.291534,0.0498047
-1.25098,0.403956,-1.55957
0.661133,0.625196,0.227539
1.15332,0.356885,0.733398
1.69629,0.5625,-1.08496
-0.65918,0.625,-1.65137
-1.2002,0.305526,-0.198242
-0.18457,0.416667,0.311523
-1.36816,0.398608,0.80957
-0.53418,0.770833,-1.56738
-0.600586,0.544795,-1.94238
-1.68262,0.479167,1.08105
-1.40137,0.367701,0.731445
0.932617,0.413496,0.793945
0.479492,0.356664,-1.52441
-0.393555,0.1875,0.977539
-0.213867,0.415629,0.274414
-1.86816,0.541667,1.94043
0.854492,0.546753,0.155273
1.80957,0.416667,0.592773
-0.106445,0.458888,0.336914
0.209961,0.56142,-0.0498047
-0.74707,0.247762,-0.52832
-0.356445,0.331477,1.91895
1.94043,0.38398,-0.651367
0.317383,0.395833,-1.57715
0.920898,0.4375,-0.702148
1.65332,0.504706,-1.54004
1.3916,0.458333,0.665039
-0.84082,0.512015,-1.0791
0.680664,0.646004,0.192383
-0.549805,0.163803,1.40918
0.631836,0.628291,0.700195
1.78418,0.25,0.950195
0.99707,0.432273,1.33691
0.588867,0.418701,-0.458008
-0.364258,0.395833,1.8584
0.192383,0.503331,0.639648
0.0517578,0.49973,0.0126953
-1.62402,0.416667,0.75293
0.348633,0.6875,1.05957
1.34863,0.213964,1.08105
-0.770508,0.541667,-1.64551
0.194336,0.5,1.09473
-1.10254,0.414342,-0.616211
0.436523,0.270833,1.9873
-1.28027,0.166667,1.94629
0.56543,0.752945,0.448242
-0.655273,0.167539,1.02246
-1.86035,0.246586,-1.22559
-0.225586,0.167842,1.3916
0.0361328,0.541122,0.104492
-0.881836,0.479167,-1.96191
-1.5752,0.291667,-0.438477
-1.54004,0.325312,0.495117
1.33691,0.4375,0.647461
1.62207,0.429052,-1.82715
0.0595703,0.39589,0.731445
-0.862305,0.150324,1.12207
-1.30957,0.244949,1.03809
0.610352,0.6875,0.0185547
-1.45215,0.27864,-0.0732422
0.0693359,0.4375,-1.9541
0.834961,0.474818,0.647461
0.946289,0.48204,0.551758
0.213867,0.406764,-1.90137
-1.44824,0.482239,0.924805
-0.295898,0.214169,1.20996
-1.56348,0.333333,0.366211
0.274414,0.690696,0.364258
-0.204102,0.363488,1.6709
1.59668,0.548589,-1.3291
0.635742,0.725646,0.0478516
0.510742,0.580673,0.852539
0.516602,0.231857,1.8291
-1.75098,0.472764,1.81348
-1.15723,0.384118,0.834961
0.583008,0.645833,-0.0419922
0.920898,0.495481,-0.231445
0.920898,0.495654,-0.375977
0.53418,0.748242,0.389648
0.676758,0.335437,-1.6123
1.55371,0.4375,0.53418
0.143555,0.645833,0.116211
-0.165039,0.354167,1.66113
-0.536133,0.224655,0.866211
-0.40332,0.352066,1.65137
-0.588867,0.854167,-1.5791
-0.180664,0.416667,0.145508
-1.03809,0.429611,-0.643555
-1.9209,0.619758,-1.93652
-0.37207,0.563517,-1.90137
0.848633,0.481247,-0.399414
0.256836,0.47806,0.692383
0.249023,0.686331,0.395508
0.383789,0.625,0.563477
-0.104492,0.420179,0.692383
-0.0400391,0.375,-0.264648
1.27637,0.479167,0.290039
1.16504,0.561465,0.280273
-0.358398,0.2102,0.891602
