v0,v1,v2
555,809,348
793,985,137
274,380,121
274,453,901
682,824,89
316,327,71
485,701,203
43,368,450
760,962,745
384,952,285
278,230,32
566,278,852
279,180,62
643,904,279
30,771,315
280,738,569
598,981,628
731,281,537
282,921,386
372,968,282
624,923,604
95,381,549
60,130,284
130,589,284
305,849,37
357,973,330
864,286,163
525,709,13
446,377,287
24,41,288
314,710,310
969,462,740
94,348,289
384,557,678
517,557,400
88,29,291
29,439,291
248,492,292
264,25,418
48,429,406
139,551,364
10,381,294
328,676,381
205,78,957
667,883,78
352,983,921
426,870,109
961,472,255
436,477,118
772,484,243
572,928,690
953,151,670
625,964,461
300,659,339
610,559,123
601,989,396
353,385,15
817,302,819
636,812,546
303,858,573
504,703,490
320,816,332
738,548,956
122,91,305
306,963,265
633,649,373
389,758,244
58,344,307
439,872,40
510,534,180
873,564,239
309,789,318
361,570,554
310,50,314
757,763,417
561,702,112
512,638,522
735,96,98
706,625,102
203,701,416
50,341,314
288,710,87
738,37,569
280,922,315
71,542,507
316,890,275
317,839,402
317,402,44
390,811,790
254,390,153
377,446,509
287,13,319
783,121,69
366,655,471
689,817,321
277,952,125
309,595,322
174,56,322
224,927,766
766,945,541
324,27,837
97,966,458
73,338,7
769,325,764
981,598,501
265,470,455
139,960,275
640,960,139
328,95,520
676,686,524
358,705,166
373,468,189
135,700,285
154,973,357
331,173,521
144,540,190
374,504,362
362,453,374
333,194,441
111,579,333
652,988,639
133,496,419
208,874,480
962,781,335
410,432,617
411,850,409
903,687,843
103,664,538
9,845,73
764,338,481
75,397,405
395,469,339
6,541,340
353,650,385
341,4,68
43,430,50
258,865,634
60,427,130
423,343,53
881,42,238
344,175,98
119,955,931
342,891,8
838,920,345
64,998,433
613,855,291
176,49,347
846,176,662
599,499,528
647,371,703
533,349,382
63,387,451
967,717,156
696,351,492
492,264,292
352,86,619
806,352,716
448,15,174
650,254,195
268,735,354
864,31,546
138,785,355
199,719,355
356,68,4
641,668,457
939,700,849
305,91,357
726,560,502
358,502,705
116,398,803
359,833,830
360,107,108
443,797,562
485,203,450
412,192,840
841,374,453
504,374,908
199,785,213
784,799,279
720,747,746
196,268,364
518,553,133
771,16,315
16,552,168
552,366,168
746,640,720
367,640,364
276,487,570
368,43,50
619,716,352
156,435,177
986,948,784
356,885,68
385,1000,791
304,533,532
386,372,282
372,680,675
373,329,468
189,543,373
908,304,532
127,453,362
593,270,516
639,906,565
376,347,14
